Date,Title,Artist,Link
2025/12/20,にじいろ,絢香,https://www.youtube.com/watch?v=iFRa7wzN2to&t=885s
2025/12/20,ルージュの伝言,荒井由実,https://www.youtube.com/watch?v=iFRa7wzN2to&t=1208s
2025/12/20,青空のラプソディ,fhána,https://www.youtube.com/watch?v=iFRa7wzN2to&t=1436s
2025/12/20,コネクト,ClariS,https://www.youtube.com/watch?v=iFRa7wzN2to&t=1620s
2025/12/20,僕が最高だから,ハコニワリリィ,https://www.youtube.com/watch?v=iFRa7wzN2to&t=2076s
2025/12/20,夜もすがら君想ふ,TOKOTOKO,https://www.youtube.com/watch?v=iFRa7wzN2to&t=2481s
2025/12/20,ラブソングに襲われる,=LOVE,https://www.youtube.com/watch?v=iFRa7wzN2to&t=2949s
2025/12/20,星座になれたら,結束バンド,https://www.youtube.com/watch?v=iFRa7wzN2to&t=3187s
2025/11/12,あなたに,MONGOL800,https://www.youtube.com/watch?v=basUGkkm_JY&t=338s
2025/11/12,にじいろ,絢香,https://www.youtube.com/watch?v=basUGkkm_JY&t=596s
2025/11/12,Good-bye days,YUI,https://www.youtube.com/watch?v=basUGkkm_JY&t=938s
2025/11/12,プラネタリウム,大塚愛,https://www.youtube.com/watch?v=basUGkkm_JY&t=1176s
2025/11/12,KissHug,aiko,https://www.youtube.com/watch?v=basUGkkm_JY&t=1384s
2025/11/12,イエスタデイ,Official髭男dism,https://www.youtube.com/watch?v=basUGkkm_JY&t=1765s
2025/11/12,手紙 ～拝啓 十五の君へ～,アンジェラ・アキ,https://www.youtube.com/watch?v=basUGkkm_JY&t=2203s
2025/11/12,花に亡霊,ヨルシカ,https://www.youtube.com/watch?v=basUGkkm_JY&t=2689s
2025/11/12,ハナミズキ,一青窈,https://www.youtube.com/watch?v=basUGkkm_JY&t=3000s
2025/11/12,花束のかわりにメロディーを,清水翔太,https://www.youtube.com/watch?v=basUGkkm_JY&t=3454s
2025/11/12,SAD SONG,ちゃんみな,https://www.youtube.com/watch?v=basUGkkm_JY&t=3839s
